CUSTOMER,PRODUCT
4,apples
6,apples
10,apples
11,apples
12,apples
13,apples
14,apples
17,apples
20,apples
24,apples
26,apples
32,apples
37,apples
41,apples
46,apples
51,apples
59,apples
62,apples
64,apples
66,apples
67,apples
70,apples
71,apples
72,apples
73,apples
75,apples
78,apples
82,apples
83,apples
85,apples
87,apples
88,apples
93,apples
94,apples
99,apples
100,apples
105,apples
110,apples
112,apples
117,apples
117,apples
119,apples
121,apples
132,apples
134,apples
142,apples
144,apples
147,apples
151,apples
153,apples
154,apples
160,apples
161,apples
163,apples
177,apples
181,apples
182,apples
183,apples
186,apples
189,apples
191,apples
196,apples
202,apples
203,apples
206,apples
207,apples
210,apples
216,apples
217,apples
218,apples
219,apples
223,apples
225,apples
226,apples
229,apples
231,apples
233,apples
234,apples
235,apples
238,apples
239,apples
240,apples
241,apples
243,apples
244,apples
249,apples
251,apples
260,apples
262,apples
269,apples
270,apples
275,apples
277,apples
281,apples
282,apples
283,apples
286,apples
289,apples
290,apples
291,apples
296,apples
298,apples
301,apples
303,apples
305,apples
306,apples
311,apples
312,apples
313,apples
314,apples
315,apples
321,apples
330,apples
331,apples
336,apples
342,apples
343,apples
347,apples
354,apples
361,apples
363,apples
367,apples
375,apples
381,apples
384,apples
385,apples
390,apples
392,apples
397,apples
404,apples
405,apples
406,apples
409,apples
410,apples
414,apples
419,apples
420,apples
423,apples
426,apples
427,apples
429,apples
432,apples
436,apples
443,apples
446,apples
448,apples
454,apples
456,apples
461,apples
462,apples
464,apples
472,apples
474,apples
481,apples
482,apples
485,apples
487,apples
492,apples
493,apples
497,apples
499,apples
501,apples
502,apples
503,apples
506,apples
511,apples
512,apples
524,apples
526,apples
528,apples
534,apples
542,apples
546,apples
547,apples
550,apples
556,apples
557,apples
565,apples
566,apples
575,apples
576,apples
582,apples
583,apples
587,apples
588,apples
589,apples
592,apples
598,apples
601,apples
602,apples
603,apples
606,apples
612,apples
619,apples
622,apples
627,apples
632,apples
634,apples
635,apples
640,apples
641,apples
646,apples
649,apples
656,apples
657,apples
659,apples
660,apples
661,apples
662,apples
663,apples
664,apples
666,apples
669,apples
676,apples
678,apples
680,apples
681,apples
682,apples
686,apples
688,apples
691,apples
692,apples
693,apples
700,apples
702,apples
705,apples
714,apples
718,apples
732,apples
742,apples
743,apples
745,apples
746,apples
749,apples
752,apples
758,apples
762,apples
762,apples
763,apples
765,apples
766,apples
768,apples
771,apples
775,apples
776,apples
779,apples
788,apples
790,apples
794,apples
798,apples
800,apples
802,apples
810,apples
812,apples
815,apples
817,apples
818,apples
818,apples
821,apples
823,apples
823,apples
824,apples
826,apples
834,apples
836,apples
837,apples
837,apples
845,apples
846,apples
851,apples
856,apples
857,apples
859,apples
861,apples
865,apples
867,apples
868,apples
870,apples
873,apples
874,apples
880,apples
883,apples
889,apples
892,apples
893,apples
895,apples
901,apples
902,apples
903,apples
906,apples
907,apples
911,apples
912,apples
913,apples
915,apples
918,apples
921,apples
924,apples
926,apples
928,apples
935,apples
937,apples
940,apples
943,apples
945,apples
958,apples
962,apples
967,apples
971,apples
973,apples
977,apples
978,apples
984,apples
989,apples
991,apples
993,apples
994,apples
997,apples
1000,apples
2,artichok
11,artichok
15,artichok
16,artichok
21,artichok
22,artichok
28,artichok
34,artichok
36,artichok
38,artichok
39,artichok
40,artichok
47,artichok
49,artichok
53,artichok
60,artichok
61,artichok
63,artichok
78,artichok
80,artichok
81,artichok
84,artichok
87,artichok
89,artichok
91,artichok
95,artichok
104,artichok
108,artichok
120,artichok
121,artichok
124,artichok
130,artichok
134,artichok
139,artichok
140,artichok
143,artichok
144,artichok
146,artichok
149,artichok
153,artichok
156,artichok
157,artichok
159,artichok
161,artichok
162,artichok
165,artichok
169,artichok
170,artichok
172,artichok
184,artichok
186,artichok
192,artichok
193,artichok
197,artichok
201,artichok
205,artichok
208,artichok
211,artichok
212,artichok
213,artichok
214,artichok
217,artichok
225,artichok
229,artichok
230,artichok
232,artichok
234,artichok
235,artichok
236,artichok
237,artichok
238,artichok
244,artichok
245,artichok
248,artichok
251,artichok
252,artichok
253,artichok
255,artichok
256,artichok
258,artichok
260,artichok
262,artichok
267,artichok
271,artichok
273,artichok
282,artichok
282,artichok
285,artichok
294,artichok
296,artichok
298,artichok
299,artichok
306,artichok
319,artichok
328,artichok
329,artichok
336,artichok
353,artichok
355,artichok
356,artichok
357,artichok
358,artichok
360,artichok
362,artichok
369,artichok
376,artichok
